correctAnswer,gridLocation,shape,dots,cumulativetime,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,group,date,expName,psychopyVersion,OS,frameRate,session,phase.thisRepN,phase.thisTrialN,phase.thisN,phase.thisIndex,phase.ran
x,"[-0.125,0.125]",diamond,2,39.217,x,0.927,0,0,0,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,0.125]",diamond,3,41.814,m,2.089,1,0,1,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[-0.125,0.125]",diamond,2,45.405,x,1.096,2,0,2,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[0.125,0.125]",square,2,48.312,m,2.39,3,0,3,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[-0.125,0.125]",square,3,57.069,m,8.245,4,0,4,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,0.125]",diamond,2,62.496,x,4.912,5,0,5,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[-0.125,0.125]",square,2,63.896,m,0.892,6,0,6,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,0.125]",diamond,3,65.329,x,0.923,7,0,7,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[-0.125,0.125]",square,2,67.637,m,1.806,8,0,8,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
x,"[0.125,0.125]",diamond,2,68.837,x,0.688,9,0,9,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[-0.125,0.125]",square,2,69.42,x,0.076,10,0,10,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
m,"[0.125,0.125]",square,2,74.477,m,2.541,11,0,11,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
,,,,,,,,,,,,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,0,0,0,0,1
x,"[0.125,-0.125]",square,2,80.469,x,1.377,0,0,0,0,1,216037,4009,2020-10-23_19h53.52.245,task-switching,2020.1.3,MacIntel,60,001,,,,,
